confidence_bin,count,percent,avg_confidence,accuracy,error_rate,calibration_gap
"(0.3, 0.4]",6,0.06934011325551832,0.37842211003181375,0.5,0.5,-0.12157788996818625
"(0.4, 0.5]",37,0.4275973650756963,0.4524052592031468,0.40540540540540543,0.5945945945945945,0.04699985379774135
"(0.5, 0.6]",200,2.3113371085172774,0.5543038256253938,0.505,0.495,0.049303825625393816
"(0.6, 0.7]",168,1.941523171154513,0.657521828622186,0.5238095238095238,0.47619047619047616,0.13371230481266216
"(0.7, 0.8]",238,2.75049115913556,0.7501580012786021,0.6008403361344538,0.39915966386554624,0.14931766514414835
"(0.8, 0.9]",337,3.894603027851612,0.8539903172276679,0.6765578635014837,0.3234421364985163,0.1774324537261842
"(0.9, 1.0]",7667,88.60510805500982,0.9937583285922394,0.9516107995304552,0.04838920046954476,0.042147529061784206
